Year,UNIT_MEASURE,Mother's education,Regions,Value,M49_country_code,COMPOSITE_BREAKDOWN,unique_id,col_caption_name,col_caption_name1_empty,year,value
2012.0,Percent,Early childhood education,,95.9,KAZ,,,,,,
2012.0,Percent,Early childhood education,Akmola,96.5,KAZ,,,,,,
2012.0,Percent,Early childhood education,Aktobe,95.2,KAZ,,,,,,
2012.0,Percent,Early childhood education,Almaty,90.4,KAZ,,,,,,
2012.0,Percent,Early childhood education,Atyrau,94.2,KAZ,,,,,,
2012.0,Percent,Early childhood education,Batys Kazakhstan,94.4,KAZ,,,,,,
2012.0,Percent,Early childhood education,Zhambyl,95.6,KAZ,,,,,,
2012.0,Percent,Early childhood education,Karagandy,98.0,KAZ,,,,,,
2012.0,Percent,Early childhood education,Kostanay,97.0,KAZ,,,,,,
2012.0,Percent,Early childhood education,Kyzylorda,91.3,KAZ,,,,,,
2012.0,Percent,Early childhood education,Mangistau,92.2,KAZ,,,,,,
2012.0,Percent,Early childhood education,Ontustik Kazakhstan,96.7,KAZ,,,,,,
2012.0,Percent,Early childhood education,Pavlodar,99.2,KAZ,,,,,,
2012.0,Percent,Early childhood education,Soltustik Kazakhstan,99.6,KAZ,,,,,,
2012.0,Percent,Early childhood education,Shygys Kazakhstan,96.9,KAZ,,,,,,
2012.0,Percent,Early childhood education,Nur-Sultan city,96.0,KAZ,,,,,,
2012.0,Percent,Early childhood education,Almaty city,99.0,KAZ,,,,,,
2013.0,Percent,Early childhood education,,99.4,KAZ,,,,,,
2013.0,Percent,Early childhood education,Akmola,97.4,KAZ,,,,,,
2013.0,Percent,Early childhood education,Aktobe,98.9,KAZ,,,,,,
2013.0,Percent,Early childhood education,Almaty,98.1,KAZ,,,,,,
2013.0,Percent,Early childhood education,Atyrau,100.0,KAZ,,,,,,
2013.0,Percent,Early childhood education,Batys Kazakhstan,100.0,KAZ,,,,,,
2013.0,Percent,Early childhood education,Zhambyl,99.9,KAZ,,,,,,
2013.0,Percent,Early childhood education,Karagandy,99.7,KAZ,,,,,,
2013.0,Percent,Early childhood education,Kostanay,97.8,KAZ,,,,,,
2013.0,Percent,Early childhood education,Kyzylorda,100.0,KAZ,,,,,,
2013.0,Percent,Early childhood education,Mangistau,98.3,KAZ,,,,,,
2013.0,Percent,Early childhood education,Ontustik Kazakhstan,99.5,KAZ,,,,,,
2013.0,Percent,Early childhood education,Pavlodar,100.0,KAZ,,,,,,
2013.0,Percent,Early childhood education,Soltustik Kazakhstan,99.8,KAZ,,,,,,
2013.0,Percent,Early childhood education,Shygys Kazakhstan,99.6,KAZ,,,,,,
2013.0,Percent,Early childhood education,Nur-Sultan city,100.0,KAZ,,,,,,
2013.0,Percent,Early childhood education,Almaty city,100.0,KAZ,,,,,,
2014.0,Percent,Early childhood education,,98.7,KAZ,,,,,,
2014.0,Percent,Early childhood education,Akmola,96.3,KAZ,,,,,,
2014.0,Percent,Early childhood education,Aktobe,99.5,KAZ,,,,,,
2014.0,Percent,Early childhood education,Almaty,98.2,KAZ,,,,,,
2014.0,Percent,Early childhood education,Atyrau,99.7,KAZ,,,,,,
2014.0,Percent,Early childhood education,Batys Kazakhstan,100.0,KAZ,,,,,,
2014.0,Percent,Early childhood education,Zhambyl,99.8,KAZ,,,,,,
2014.0,Percent,Early childhood education,Karagandy,98.8,KAZ,,,,,,
2014.0,Percent,Early childhood education,Kostanay,96.1,KAZ,,,,,,
2014.0,Percent,Early childhood education,Kyzylorda,100.0,KAZ,,,,,,
2014.0,Percent,Early childhood education,Mangistau,92.8,KAZ,,,,,,
2014.0,Percent,Early childhood education,Ontustik Kazakhstan,99.5,KAZ,,,,,,
2014.0,Percent,Early childhood education,Pavlodar,99.8,KAZ,,,,,,
2014.0,Percent,Early childhood education,Soltustik Kazakhstan,99.9,KAZ,,,,,,
2014.0,Percent,Early childhood education,Shygys Kazakhstan,99.6,KAZ,,,,,,
2014.0,Percent,Early childhood education,Nur-Sultan city,100.0,KAZ,,,,,,
2014.0,Percent,Early childhood education,Almaty city,96.2,KAZ,,,,,,
2015.0,Percent,Early childhood education,,99.3,KAZ,,,,,,
2015.0,Percent,Early childhood education,Akmola,98.9,KAZ,,,,,,
2015.0,Percent,Early childhood education,Aktobe,99.9,KAZ,,,,,,
2015.0,Percent,Early childhood education,Almaty,98.3,KAZ,,,,,,
2015.0,Percent,Early childhood education,Atyrau,99.9,KAZ,,,,,,
2015.0,Percent,Early childhood education,Batys Kazakhstan,100.0,KAZ,,,,,,
2015.0,Percent,Early childhood education,Zhambyl,99.8,KAZ,,,,,,
2015.0,Percent,Early childhood education,Karagandy,99.9,KAZ,,,,,,
2015.0,Percent,Early childhood education,Kostanay,98.6,KAZ,,,,,,
2015.0,Percent,Early childhood education,Kyzylorda,100.0,KAZ,,,,,,
2015.0,Percent,Early childhood education,Mangistau,96.2,KAZ,,,,,,
2015.0,Percent,Early childhood education,Ontustik Kazakhstan,99.7,KAZ,,,,,,
2015.0,Percent,Early childhood education,Pavlodar,100.0,KAZ,,,,,,
2015.0,Percent,Early childhood education,Soltustik Kazakhstan,99.8,KAZ,,,,,,
2015.0,Percent,Early childhood education,Shygys Kazakhstan,97.3,KAZ,,,,,,
2015.0,Percent,Early childhood education,Nur-Sultan city,100.0,KAZ,,,,,,
2015.0,Percent,Early childhood education,Almaty city,100.0,KAZ,,,,,,
2016.0,Percent,Early childhood education,,97.0,KAZ,,,,,,
2016.0,Percent,Early childhood education,Akmola,99.2,KAZ,,,,,,
2016.0,Percent,Early childhood education,Aktobe,96.5,KAZ,,,,,,
2016.0,Percent,Early childhood education,Almaty,94.8,KAZ,,,,,,
2016.0,Percent,Early childhood education,Atyrau,95.1,KAZ,,,,,,
2016.0,Percent,Early childhood education,Batys Kazakhstan,98.3,KAZ,,,,,,
2016.0,Percent,Early childhood education,Zhambyl,95.9,KAZ,,,,,,
2016.0,Percent,Early childhood education,Karagandy,98.9,KAZ,,,,,,
2016.0,Percent,Early childhood education,Kostanay,97.4,KAZ,,,,,,
2016.0,Percent,Early childhood education,Kyzylorda,97.5,KAZ,,,,,,
2016.0,Percent,Early childhood education,Mangistau,90.4,KAZ,,,,,,
2016.0,Percent,Early childhood education,Ontustik Kazakhstan,97.0,KAZ,,,,,,
2016.0,Percent,Early childhood education,Pavlodar,100.0,KAZ,,,,,,
2016.0,Percent,Early childhood education,Soltustik Kazakhstan,98.4,KAZ,,,,,,
2016.0,Percent,Early childhood education,Shygys Kazakhstan,98.8,KAZ,,,,,,
2016.0,Percent,Early childhood education,Nur-Sultan city,97.5,KAZ,,,,,,
2016.0,Percent,Early childhood education,Almaty city,96.5,KAZ,,,,,,
2016.0,Percent,Elementary education/ High education (incomplete),,100.0,KAZ,,,,,,
2016.0,Percent,secondary (high school),,100.0,KAZ,,,,,,
2017.0,Percent,Early childhood education,,98.4,KAZ,,,,,,
2017.0,Percent,Early childhood education,Akmola,100.0,KAZ,,,,,,
2017.0,Percent,Early childhood education,Aktobe,95.6,KAZ,,,,,,
2017.0,Percent,Early childhood education,Almaty,97.0,KAZ,,,,,,
2017.0,Percent,Early childhood education,Atyrau,98.7,KAZ,,,,,,
2017.0,Percent,Early childhood education,Batys Kazakhstan,98.6,KAZ,,,,,,
2017.0,Percent,Early childhood education,Zhambyl,98.5,KAZ,,,,,,
2017.0,Percent,Early childhood education,Karagandy,99.3,KAZ,,,,,,
2017.0,Percent,Early childhood education,Kostanay,98.6,KAZ,,,,,,
2017.0,Percent,Early childhood education,Kyzylorda,99.5,KAZ,,,,,,
2017.0,Percent,Early childhood education,Mangistau,96.2,KAZ,,,,,,
2017.0,Percent,Early childhood education,Ontustik Kazakhstan,97.7,KAZ,,,,,,
2017.0,Percent,Early childhood education,Pavlodar,100.0,KAZ,,,,,,
2017.0,Percent,Early childhood education,Soltustik Kazakhstan,98.9,KAZ,,,,,,
2017.0,Percent,Early childhood education,Shygys Kazakhstan,99.7,KAZ,,,,,,
2017.0,Percent,Early childhood education,Nur-Sultan city,99.9,KAZ,,,,,,
2017.0,Percent,Early childhood education,Almaty city,98.7,KAZ,,,,,,
2017.0,Percent,Elementary education/ High education (incomplete),,100.0,KAZ,,,,,,
2017.0,Percent,secondary (high school),,100.0,KAZ,,,,,,
2018.0,Percent,Early childhood education,,98.3,KAZ,,,,,,
2018.0,Percent,Early childhood education,Akmola,100.0,KAZ,,,,,,
2018.0,Percent,Early childhood education,Aktobe,99.5,KAZ,,,,,,
2018.0,Percent,Early childhood education,Almaty,96.5,KAZ,,,,,,
2018.0,Percent,Early childhood education,Atyrau,99.2,KAZ,,,,,,
2018.0,Percent,Early childhood education,Batys Kazakhstan,100.0,KAZ,,,,,,
2018.0,Percent,Early childhood education,Zhambyl,97.8,KAZ,,,,,,
2018.0,Percent,Early childhood education,Karagandy,98.9,KAZ,,,,,,
2018.0,Percent,Early childhood education,Kostanay,98.5,KAZ,,,,,,
2018.0,Percent,Early childhood education,Kyzylorda,98.7,KAZ,,,,,,
2018.0,Percent,Early childhood education,Mangistau,97.3,KAZ,,,,,,
2018.0,Percent,Early childhood education,Pavlodar,100.0,KAZ,,,,,,
2018.0,Percent,Early childhood education,Soltustik Kazakhstan,98.9,KAZ,,,,,,
2018.0,Percent,Early childhood education,Turkistan,96.7,KAZ,,,,,,
2018.0,Percent,Early childhood education,Shygys Kazakhstan,99.1,KAZ,,,,,,
2018.0,Percent,Early childhood education,Nur-Sultan city,97.5,KAZ,,,,,,
2018.0,Percent,Early childhood education,Almaty city,98.1,KAZ,,,,,,
2018.0,Percent,Early childhood education,Shymkent city,99.1,KAZ,,,,,,
2018.0,Percent,Elementary education/ High education (incomplete),,100.0,KAZ,,,,,,
2018.0,Percent,secondary (high school),,100.0,KAZ,,,,,,
2019.0,Percent,Early childhood education,,97.5,KAZ,,,,,,
2019.0,Percent,Early childhood education,Akmola,99.9,KAZ,,,,,,
2019.0,Percent,Early childhood education,Aktobe,97.7,KAZ,,,,,,
2019.0,Percent,Early childhood education,Almaty,95.3,KAZ,,,,,,
2019.0,Percent,Early childhood education,Atyrau,97.6,KAZ,,,,,,
2019.0,Percent,Early childhood education,Batys Kazakhstan,99.9,KAZ,,,,,,
2019.0,Percent,Early childhood education,Zhambyl,97.0,KAZ,,,,,,
2019.0,Percent,Early childhood education,Karagandy,98.2,KAZ,,,,,,
2019.0,Percent,Early childhood education,Kostanay,98.0,KAZ,,,,,,
2019.0,Percent,Early childhood education,Kyzylorda,98.1,KAZ,,,,,,
2019.0,Percent,Early childhood education,Mangistau,95.7,KAZ,,,,,,
2019.0,Percent,Early childhood education,Pavlodar,100.0,KAZ,,,,,,
2019.0,Percent,Early childhood education,Soltustik Kazakhstan,99.0,KAZ,,,,,,
2019.0,Percent,Early childhood education,Turkistan,96.0,KAZ,,,,,,
2019.0,Percent,Early childhood education,Shygys Kazakhstan,98.0,KAZ,,,,,,
2019.0,Percent,Early childhood education,Nur-Sultan city,97.6,KAZ,,,,,,
2019.0,Percent,Early childhood education,Almaty city,97.3,KAZ,,,,,,
2019.0,Percent,Early childhood education,Shymkent city,98.0,KAZ,,,,,,
2019.0,Percent,Elementary education/ High education (incomplete),,100.0,KAZ,,,,,,
2019.0,Percent,secondary (high school),,100.0,KAZ,,,,,,
2020.0,Percent,Early childhood education,,97.8,KAZ,,,,,,
2020.0,Percent,Early childhood education,Akmola,100.0,KAZ,,,,,,
2020.0,Percent,Early childhood education,Aktobe,99.5,KAZ,,,,,,
2020.0,Percent,Early childhood education,Almaty,95.5,KAZ,,,,,,
2020.0,Percent,Early childhood education,Atyrau,97.3,KAZ,,,,,,
2020.0,Percent,Early childhood education,Batys Kazakhstan,99.9,KAZ,,,,,,
2020.0,Percent,Early childhood education,Zhambyl,99.3,KAZ,,,,,,
2020.0,Percent,Early childhood education,Karagandy,98.1,KAZ,,,,,,
2020.0,Percent,Early childhood education,Kostanay,99.4,KAZ,,,,,,
2020.0,Percent,Early childhood education,Kyzylorda,97.9,KAZ,,,,,,
2020.0,Percent,Early childhood education,Mangistau,96.3,KAZ,,,,,,
2020.0,Percent,Early childhood education,Pavlodar,100.0,KAZ,,,,,,
2020.0,Percent,Early childhood education,Soltustik Kazakhstan,98.9,KAZ,,,,,,
2020.0,Percent,Early childhood education,Turkistan,96.3,KAZ,,,,,,
2020.0,Percent,Early childhood education,Shygys Kazakhstan,97.5,KAZ,,,,,,
2020.0,Percent,Early childhood education,Nur-Sultan city,97.1,KAZ,,,,,,
2020.0,Percent,Early childhood education,Almaty city,98.0,KAZ,,,,,,
2020.0,Percent,Early childhood education,Shymkent city,97.7,KAZ,,,,,,
2020.0,Percent,Elementary education/ High education (incomplete),,100.0,KAZ,,,,,,
2020.0,Percent,secondary (high school),,100.0,KAZ,,,,,,
2010.0,,,,87.9,KGZ,Teachers: a) in pre-school educational institutions,,,,,
2013.0,,,,88.8,KGZ,Teachers: a) in pre-school educational institutions,,,,,
2014.0,,,,89.8,KGZ,Teachers: a) in pre-school educational institutions,,,,,
2015.0,,,,94.7,KGZ,Teachers: a) in pre-school educational institutions,,,,,
2016.0,,,,91.6,KGZ,Teachers: a) in pre-school educational institutions,,,,,
2017.0,,,,93.4,KGZ,Teachers: a) in pre-school educational institutions,,,,,
2018.0,,,,93.5,KGZ,Teachers: a) in pre-school educational institutions,,,,,
2019.0,,,,93.6,KGZ,Teachers: a) in pre-school educational institutions,,,,,
2020.0,,,,94.5,KGZ,Teachers: a) in pre-school educational institutions,,,,,
2021.0,,,,93.5,KGZ,Teachers: a) in pre-school educational institutions,,,,,
2010.0,,,,93.6,KGZ,Teachers: b) in primary school (grades 1-4),,,,,
2013.0,,,,94.3,KGZ,Teachers: b) in primary school (grades 1-4),,,,,
2014.0,,,,94.4,KGZ,Teachers: b) in primary school (grades 1-4),,,,,
2015.0,,,,95.0,KGZ,Teachers: b) in primary school (grades 1-4),,,,,
2016.0,,,,95.4,KGZ,Teachers: b) in primary school (grades 1-4),,,,,
2017.0,,,,96.0,KGZ,Teachers: b) in primary school (grades 1-4),,,,,
2018.0,,,,96.4,KGZ,Teachers: b) in primary school (grades 1-4),,,,,
2019.0,,,,96.3,KGZ,Teachers: b) in primary school (grades 1-4),,,,,
2020.0,,,,96.7,KGZ,Teachers: b) in primary school (grades 1-4),,,,,
2021.0,,,,96.6,KGZ,Teachers: b) in primary school (grades 1-4),,,,,
2010.0,,,,92.9,KGZ,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),,,,,
2013.0,,,,94.8,KGZ,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),,,,,
2014.0,,,,95.3,KGZ,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),,,,,
2015.0,,,,95.9,KGZ,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),,,,,
2016.0,,,,96.9,KGZ,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),,,,,
2017.0,,,,97.9,KGZ,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),,,,,
2018.0,,,,98.0,KGZ,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),,,,,
2019.0,,,,98.0,KGZ,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),,,,,
2020.0,,,,98.2,KGZ,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),,,,,
2021.0,,,,98.1,KGZ,Teachers: (c) primary school (grades 5-9) and (d) secondary school (grades 10-11),,,,,
,,,,,UZB,,16_173_,pre-school institutions,True,2000.0,0.0
,,,,,UZB,,16_173_,pre-school institutions,True,2001.0,0.0
,,,,,UZB,,16_173_,pre-school institutions,True,2002.0,0.0
,,,,,UZB,,16_173_,pre-school institutions,True,2003.0,0.0
,,,,,UZB,,16_173_,pre-school institutions,True,2004.0,0.0
,,,,,UZB,,16_173_,pre-school institutions,True,2005.0,0.0
,,,,,UZB,,16_173_,pre-school institutions,True,2006.0,0.0
,,,,,UZB,,16_173_,pre-school institutions,True,2007.0,0.0
,,,,,UZB,,16_173_,pre-school institutions,True,2008.0,95.3
,,,,,UZB,,16_173_,pre-school institutions,True,2009.0,95.2
,,,,,UZB,,16_173_,pre-school institutions,True,2010.0,94.7
,,,,,UZB,,16_173_,pre-school institutions,True,2011.0,95.0
,,,,,UZB,,16_173_,pre-school institutions,True,2012.0,98.5
,,,,,UZB,,16_173_,pre-school institutions,True,2013.0,96.3
,,,,,UZB,,16_173_,pre-school institutions,True,2014.0,95.9
,,,,,UZB,,16_173_,pre-school institutions,True,2015.0,97.0
,,,,,UZB,,16_173_,pre-school institutions,True,2016.0,98.0
,,,,,UZB,,16_173_,pre-school institutions,True,2017.0,98.4
,,,,,UZB,,16_173_,pre-school institutions,True,2018.0,95.6
,,,,,UZB,,16_173_,pre-school institutions,True,2019.0,95.8
,,,,,UZB,,16_173_,pre-school institutions,True,2020.0,98.3
,,,,,UZB,,16_173_,pre-school institutions,True,2021.0,98.8
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2000.0,0.0
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2001.0,0.0
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2002.0,0.0
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2003.0,0.0
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2004.0,0.0
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2005.0,0.0
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2006.0,0.0
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2007.0,0.0
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2008.0,0.0
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2009.0,0.0
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2010.0,90.2
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2011.0,94.2
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2012.0,95.2
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2013.0,93.5
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2014.0,96.6
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2015.0,97.4
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2016.0,98.8
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2017.0,99.0
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2018.0,99.4
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2019.0,99.3
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2020.0,99.1
,,,,,UZB,,16_174_,educational institutions with teacher education,True,2021.0,99.0
