Year,SERIES,Reference area,GeoCode,Value,M49_country_code
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,94.1,KGZ
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,95.3,KGZ
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,95.4,KGZ
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.5,KGZ
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,95.1,KGZ
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.2,KGZ
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.9,KGZ
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,95.8,KGZ
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.6,KGZ
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,96.1,KGZ
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,93.4,KGZ
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,94.5,KGZ
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,94.351083,KGZ
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,88.157251,KGZ
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),,,88.796593,KGZ
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,93.4,KGZ
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,96.8,KGZ
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,95.4,KGZ
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,96.8,KGZ
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,96.7,KGZ
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,98.3,KGZ
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,97.7,KGZ
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,98.9,KGZ
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,98.6,KGZ
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,98.1,KGZ
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,96.7,KGZ
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,96.6,KGZ
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,98.322619,KGZ
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,91.684706,KGZ
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,KG05,86.908583,KGZ
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,93.6,KGZ
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,95.6,KGZ
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,95.9,KGZ
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,95.9,KGZ
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,94.2,KGZ
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,95.9,KGZ
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,97.8,KGZ
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,94.8,KGZ
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,96.1,KGZ
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,95.8,KGZ
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,93.8,KGZ
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,96.1,KGZ
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,90.174029,KGZ
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,87.415504,KGZ
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,KG03,89.680107,KGZ
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,93.9,KGZ
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,95.2,KGZ
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,95.3,KGZ
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,97.2,KGZ
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,93.6,KGZ
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,96.9,KGZ
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,97.3,KGZ
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,91.3,KGZ
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,98.0,KGZ
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,95.9,KGZ
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,96.1,KGZ
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,95.0,KGZ
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,94.575714,KGZ
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,87.604354,KGZ
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,95.77591,KGZ
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,94.4,KGZ
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,95.2,KGZ
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,95.3,KGZ
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,96.8,KGZ
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,95.5,KGZ
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,97.4,KGZ
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,98.0,KGZ
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,97.6,KGZ
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,97.2,KGZ
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,96.8,KGZ
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,97.0,KGZ
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,94.8,KGZ
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,97.59292,KGZ
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,90.958705,KGZ
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,96.517042,KGZ
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,94.4,KGZ
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,94.5,KGZ
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,95.1,KGZ
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,95.5,KGZ
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,93.6,KGZ
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,93.0,KGZ
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,96.2,KGZ
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,98.3,KGZ
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,97.1,KGZ
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,98.5,KGZ
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,96.6,KGZ
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,95.8,KGZ
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,99.33564,KGZ
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,95.543628,KGZ
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,90.31153,KGZ
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,94.0,KGZ
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,94.8,KGZ
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,94.6,KGZ
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,96.8,KGZ
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,95.3,KGZ
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,96.0,KGZ
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,96.2,KGZ
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,93.4,KGZ
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,96.8,KGZ
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,95.2,KGZ
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,93.1,KGZ
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,95.3,KGZ
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,92.698706,KGZ
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,94.171956,KGZ
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,90.746325,KGZ
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,94.0,KGZ
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,95.5,KGZ
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,95.5,KGZ
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,96.3,KGZ
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,96.8,KGZ
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,97.6,KGZ
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,96.3,KGZ
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,96.0,KGZ
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,97.0,KGZ
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,97.5,KGZ
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,91.8,KGZ
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,92.5,KGZ
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,91.652622,KGZ
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,89.92219,KGZ
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,90.894108,KGZ
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,95.0,KGZ
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,94.9,KGZ
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,95.5,KGZ
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,96.8,KGZ
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,96.4,KGZ
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,97.2,KGZ
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,96.6,KGZ
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,93.7,KGZ
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,94.0,KGZ
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,90.5,KGZ
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,86.5,KGZ
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,90.3,KGZ
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,92.018905,KGZ
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,73.377391,KGZ
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,81.065681,KGZ
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,95.2,KGZ
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,96.7,KGZ
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,95.4,KGZ
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,95.7,KGZ
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,95.2,KGZ
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,98.5,KGZ
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,99.2,KGZ
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,96.0,KGZ
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,97.6,KGZ
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,96.7,KGZ
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,98.0,KGZ
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,95.2,KGZ
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,95.586032,KGZ
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,87.340379,KGZ
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,85.088889,KGZ
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,98.8,KGZ
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,99.1,KGZ
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,98.9,KGZ
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,98.3,KGZ
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,97.2,KGZ
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,97.7,KGZ
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,98.666102,KGZ
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,95.6,KGZ
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,99.1,KGZ
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,97.0,KGZ
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,94.7,KGZ
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,96.244215,KGZ
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,97.245414,KGZ
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,93.789319,KGZ
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,93.378399,KGZ
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,99.2,KGZ
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,99.0,KGZ
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,99.9,KGZ
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,97.2,KGZ
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,95.7,KGZ
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,100.0,KGZ
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,99.9,KGZ
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,98.9,KGZ
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,97.6,KGZ
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,99.9,KGZ
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,98.7,KGZ
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,92.454654,KGZ
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,98.254513,KGZ
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,98.728939,KGZ
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,93.091417,KGZ
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,97.8,KGZ
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,99.2,KGZ
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,98.3,KGZ
