Year,SERIES,Reference area,GeoCode,Value,M49_country_code
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,98.3,KGZ
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,100.0,KGZ
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,99.0,KGZ
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,99.6,KGZ
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,91.7,KGZ
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,100.0,KGZ
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,95.7,KGZ
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,88.8,KGZ
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,93.49863,KGZ
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,93.035179,KGZ
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,91.334273,KGZ
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,94.815062,KGZ
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,99.0,KGZ
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,99.7,KGZ
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,99.7,KGZ
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,99.2,KGZ
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,96.9,KGZ
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,95.7,KGZ
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,97.4,KGZ
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,95.6,KGZ
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,98.9,KGZ
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,97.7,KGZ
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,95.1,KGZ
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,96.51199,KGZ
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,97.67698,KGZ
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,96.09807,KGZ
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,100.537815,KGZ
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,99.4,KGZ
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,99.1,KGZ
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,98.9,KGZ
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,99.5,KGZ
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,96.7,KGZ
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,97.6,KGZ
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,97.3,KGZ
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,97.7,KGZ
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,98.1,KGZ
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,98.1,KGZ
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,97.0,KGZ
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,97.646444,KGZ
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,98.140747,KGZ
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,96.233184,KGZ
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,100.335258,KGZ
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,98.9,KGZ
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,99.5,KGZ
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,99.8,KGZ
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,99.7,KGZ
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,94.7,KGZ
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,96.6,KGZ
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,97.9,KGZ
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,96.1,KGZ
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,99.0,KGZ
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,99.2,KGZ
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,96.8,KGZ
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,98.10916,KGZ
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,99.619945,KGZ
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,97.454999,KGZ
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,93.789893,KGZ
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,98.6,KGZ
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,99.2,KGZ
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,97.6,KGZ
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,97.1,KGZ
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,97.7,KGZ
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,98.8,KGZ
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,97.7,KGZ
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,94.3,KGZ
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,97.1,KGZ
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,97.0,KGZ
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,95.6,KGZ
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,98.413291,KGZ
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,95.974889,KGZ
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,95.177033,KGZ
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,95.401432,KGZ
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,99.1,KGZ
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,97.4,KGZ
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,98.7,KGZ
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,96.4,KGZ
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,97.1,KGZ
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,96.4,KGZ
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,99.3,KGZ
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,96.5,KGZ
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,98.6,KGZ
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,95.0,KGZ
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,96.3,KGZ
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,97.43813,KGZ
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,99.450649,KGZ
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,97.514722,KGZ
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,92.308749,KGZ
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,99.8,KGZ
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,99.9,KGZ
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,98.6,KGZ
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,99.0,KGZ
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,97.4,KGZ
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,97.7,KGZ
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,98.4,KGZ
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,95.6,KGZ
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,99.8,KGZ
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,95.1,KGZ
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,91.7,KGZ
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,96.281062,KGZ
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,96.444387,KGZ
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,83.697508,KGZ
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,89.338843,KGZ
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,98.8,KGZ
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,98.9,KGZ
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,98.2,KGZ
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,97.4,KGZ
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,99.7,KGZ
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,98.1,KGZ
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,98.7,KGZ
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,99.9,KGZ
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,99.7,KGZ
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,96.8,KGZ
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,97.7,KGZ
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,99.425085,KGZ
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,97.981883,KGZ
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,93.662127,KGZ
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,87.955556,KGZ
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),,,96.8,KGZ
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),,,97.2,KGZ
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),,,94.2,KGZ
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),,,92.0,KGZ
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),,,95.083643,KGZ
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),,,88.782542,KGZ
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),,,89.631204,KGZ
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Batken,KG05,97.3,KGZ
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Batken,KG05,99.3,KGZ
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Batken,KG05,96.3,KGZ
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Batken,KG05,94.6,KGZ
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Batken,KG05,99.597512,KGZ
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Batken,KG05,83.440107,KGZ
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Batken,KG05,89.204466,KGZ
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Jalal-Abad,KG03,97.3,KGZ
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Jalal-Abad,KG03,95.9,KGZ
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Jalal-Abad,KG03,94.5,KGZ
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Jalal-Abad,KG03,93.8,KGZ
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Jalal-Abad,KG03,90.089857,KGZ
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Jalal-Abad,KG03,88.195819,KGZ
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Jalal-Abad,KG03,84.751749,KGZ
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Issyk-Kul,KG02,98.2,KGZ
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Issyk-Kul,KG02,96.4,KGZ
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Issyk-Kul,KG02,96.3,KGZ
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Issyk-Kul,KG02,95.0,KGZ
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Issyk-Kul,KG02,94.992818,KGZ
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Issyk-Kul,KG02,88.268865,KGZ
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Issyk-Kul,KG02,96.201681,KGZ
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Naryn,KG04,96.8,KGZ
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Naryn,KG04,96.7,KGZ
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Naryn,KG04,97.0,KGZ
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Naryn,KG04,95.1,KGZ
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Naryn,KG04,97.283381,KGZ
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Naryn,KG04,91.250904,KGZ
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Naryn,KG04,95.567145,KGZ
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh,KG06,96.3,KGZ
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh,KG06,98.8,KGZ
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh,KG06,97.2,KGZ
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh,KG06,92.1,KGZ
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh,KG06,98.41451,KGZ
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh,KG06,95.711275,KGZ
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh,KG06,91.330444,KGZ
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Talas,KG07,97.2,KGZ
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Talas,KG07,96.1,KGZ
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Talas,KG07,94.0,KGZ
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Talas,KG07,96.0,KGZ
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Talas,KG07,94.297841,KGZ
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Talas,KG07,95.762224,KGZ
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Talas,KG07,91.368262,KGZ
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Chui,KG08,97.6,KGZ
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Chui,KG08,98.7,KGZ
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Chui,KG08,92.6,KGZ
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Chui,KG08,92.1,KGZ
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Chui,KG08,94.916128,KGZ
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Chui,KG08,90.955903,KGZ
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Chui,KG08,92.345374,KGZ
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Bishkek (city),KG11,95.0,KGZ
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Bishkek (city),KG11,94.8,KGZ
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Bishkek (city),KG11,90.4,KGZ
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Bishkek (city),KG11,83.4,KGZ
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Bishkek (city),KG11,93.823491,KGZ
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Bishkek (city),KG11,79.378126,KGZ
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Bishkek (city),KG11,88.660287,KGZ
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh (city),KG21,97.9,KGZ
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh (city),KG21,96.8,KGZ
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh (city),KG21,90.0,KGZ
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh (city),KG21,93.9,KGZ
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh (city),KG21,95.896254,KGZ
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh (city),KG21,87.352779,KGZ
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh (city),KG21,84.944444,KGZ
